root,multiAccept,sendfile,compression,noCompression,serverCache,keepalive,basicAuth,tls,ecdsaCertificate,aesTls,tlsMoreBits,tcpNoDelay,tcpNoPush,processCount,compressionLevel,performance
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2.859
1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2.6972
1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2.7486
1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,1,2.8234
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3.0554
1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2.7488
1,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,2.755
1,1,0,0,1,0,0,0,0,0,0,0,0,1,8,1,2.7368
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2.9164
1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2.702
1,1,0,0,1,0,0,0,0,0,0,0,1,0,4,1,2.6626
1,1,0,0,1,0,0,0,0,0,0,0,1,0,8,1,2.7778
1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2.9382
1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,2.724
1,1,0,0,1,0,0,0,0,0,0,0,1,1,4,1,2.7706
1,1,0,0,1,0,0,0,0,0,0,0,1,1,8,1,2.7586
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2.6502
1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2.8352
1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1,2.731
1,1,0,0,1,1,0,0,0,0,0,0,0,0,8,1,2.7732
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2.6272
1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2.8614
1,1,0,0,1,1,0,0,0,0,0,0,0,1,4,1,2.836
1,1,0,0,1,1,0,0,0,0,0,0,0,1,8,1,2.8174
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2.6014
1,1,0,0,1,1,0,0,0,0,0,0,1,0,2,1,2.8484
1,1,0,0,1,1,0,0,0,0,0,0,1,0,4,1,2.846
1,1,0,0,1,1,0,0,0,0,0,0,1,0,8,1,2.8224
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2.7152
1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,2.7868
1,1,0,0,1,1,0,0,0,0,0,0,1,1,4,1,2.805
1,1,0,0,1,1,0,0,0,0,0,0,1,1,8,1,2.8048
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3.5916
1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2.7916
1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2.8794
1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,1,2.8218
1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3.443
1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2.597
1,1,1,0,1,0,0,0,0,0,0,0,0,1,4,1,2.6994
1,1,1,0,1,0,0,0,0,0,0,0,0,1,8,1,2.593
1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,3.9
1,1,1,0,1,0,0,0,0,0,0,0,1,0,2,1,2.7838
1,1,1,0,1,0,0,0,0,0,0,0,1,0,4,1,2.8184
1,1,1,0,1,0,0,0,0,0,0,0,1,0,8,1,2.8382
1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,3.336
1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1,2.654
1,1,1,0,1,0,0,0,0,0,0,0,1,1,4,1,2.6428
1,1,1,0,1,0,0,0,0,0,0,0,1,1,8,1,2.6176
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3.017
1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,2.848
1,1,1,0,1,1,0,0,0,0,0,0,0,0,4,1,2.7548
1,1,1,0,1,1,0,0,0,0,0,0,0,0,8,1,2.7748
1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,2.9048
1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,1,2.6964
1,1,1,0,1,1,0,0,0,0,0,0,0,1,4,1,2.6594
1,1,1,0,1,1,0,0,0,0,0,0,0,1,8,1,2.5892
1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3.0416
1,1,1,0,1,1,0,0,0,0,0,0,1,0,2,1,2.8642
1,1,1,0,1,1,0,0,0,0,0,0,1,0,4,1,2.7584
1,1,1,0,1,1,0,0,0,0,0,0,1,0,8,1,2.76
1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,2.8842
1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,1,2.6934
1,1,1,0,1,1,0,0,0,0,0,0,1,1,4,1,2.7156
1,1,1,0,1,1,0,0,0,0,0,0,1,1,8,1,2.626
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,18.0848
1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,8.9532
1,1,0,0,1,0,0,1,0,0,0,0,0,0,4,1,4.568
1,1,0,0,1,0,0,1,0,0,0,0,0,0,8,1,4.5608
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,18.5084
1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,9.0474
1,1,0,0,1,0,0,1,0,0,0,0,0,1,4,1,4.656
1,1,0,0,1,0,0,1,0,0,0,0,0,1,8,1,4.5534
1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,18.227
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,1,9.0518
1,1,0,0,1,0,0,1,0,0,0,0,1,0,4,1,4.574
1,1,0,0,1,0,0,1,0,0,0,0,1,0,8,1,4.6
1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,18.0726
1,1,0,0,1,0,0,1,0,0,0,0,1,1,2,1,8.9308
1,1,0,0,1,0,0,1,0,0,0,0,1,1,4,1,4.6008
1,1,0,0,1,0,0,1,0,0,0,0,1,1,8,1,4.5408
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,17.9734
1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,9.3852
1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,1,4.5068
1,1,0,0,1,1,0,1,0,0,0,0,0,0,8,1,4.5498
1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,17.0508
1,1,0,0,1,1,0,1,0,0,0,0,0,1,2,1,8.8354
1,1,0,0,1,1,0,1,0,0,0,0,0,1,4,1,4.5588
1,1,0,0,1,1,0,1,0,0,0,0,0,1,8,1,4.5004
1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,17.842
1,1,0,0,1,1,0,1,0,0,0,0,1,0,2,1,8.7338
1,1,0,0,1,1,0,1,0,0,0,0,1,0,4,1,4.5986
1,1,0,0,1,1,0,1,0,0,0,0,1,0,8,1,4.491
1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,18.4748
1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,1,8.909
