SECURE_DELETE,ENABLE_ATOMIC_WRITE,ENABLE_STAT2,DISABLE_LFS,DISABLE_DIRSYNC,OMIT_AUTOMATIC_INDEX,OMIT_BETWEEN_OPTIMIZATION,OMIT_BTREECOUNT,OMIT_LIKE_OPTIMIZATION,OMIT_LOOKASIDE,OMIT_OR_OPTIMIZATION,OMIT_QUICKBALANCE,OMIT_SHARED_CACHE,OMIT_XFER_OPT,<$fillrand100K
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.029690408
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.074775842
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.077482659
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.049568601
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.04525461
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.093469802
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.048130604
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.058788699
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.064879039
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.132634072
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.037303333
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.102351548
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.041109795
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.012434444
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.07181526
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.024445948
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.042886144
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.07486043
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.066232448
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.033581458
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.024530536
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.033835222
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.021992895
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.030367112
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.070038911
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.096514972
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.056673998
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.111317882
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0361191
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.046185079
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.05049907
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.098037557
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.165285062
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.435205549
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.048891896
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.094823211
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.042970733
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.075621722
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.039756386
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.086448993
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.013618677
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.017594316
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.10488919
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.031212993
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.038910506
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.155811199
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.156318728
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.005751988
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.042294028
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.071392319
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.122652681
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.091947217
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.070377263
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.107765184
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.021908307
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.054136356
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.032904754
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.046608019
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.084757232
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.08661817
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.060311284
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.06005752
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.075875486
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.042463204
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.034004399
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.060987988
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.104804602
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.059380815
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.012265268
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.083150059
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.006936221
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.035273219
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.05439012
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.11791575
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.067078329
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.077990188
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.063356454
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.094823211
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.039671798
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.108188124
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.075198782
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.048807308
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.073760785
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.131449839
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.122145153
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.154119438
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.054136356
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.097952969
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.099475554
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.06005752
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.074691254
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.04829978
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.107849772
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.047200135
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.041025207
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.09008628
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.062256809
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.057266114
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.064456099
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.088056166
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.116900694
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.06310269
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.044916258
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.070292675
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.053882592
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.095415327
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.111740822
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.047200135
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.026645238
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.042970733
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.069531382
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.065894096
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.115208932
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.061072577
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.069700558
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.068431737
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.038402977
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.100152259
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.980713923
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.075367958
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.078836068
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.103366605
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.083911352
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.075367958
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.054643884
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.042294028
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.055066825
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.095330739
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.068939266
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.045000846
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.06699374
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.084757232
