path,line
org.apache.batik.anim.dom.AbstractElement,239
org.apache.batik.anim.dom.AbstractElement,247
org.apache.batik.anim.dom.AbstractElement,248
org.apache.batik.anim.dom.AbstractElement,251
org.apache.batik.anim.dom.SAXSVGDocumentFactory,348
org.apache.batik.anim.dom.SAXSVGDocumentFactory,350
org.apache.batik.anim.dom.SAXSVGDocumentFactory,351
org.apache.batik.anim.dom.SAXSVGDocumentFactory,353
org.apache.batik.anim.dom.SAXSVGDocumentFactory,354
org.apache.batik.anim.dom.SAXSVGDocumentFactory,355
org.apache.batik.anim.dom.SAXSVGDocumentFactory,356
org.apache.batik.anim.dom.SAXSVGDocumentFactory,359
org.apache.batik.anim.dom.SAXSVGDocumentFactory,362
org.apache.batik.anim.dom.SAXSVGDocumentFactory,363
org.apache.batik.anim.dom.SAXSVGDocumentFactory,365
org.apache.batik.anim.dom.SAXSVGDocumentFactory,366
org.apache.batik.anim.dom.SAXSVGDocumentFactory,367
org.apache.batik.anim.dom.SAXSVGDocumentFactory,369
org.apache.batik.anim.dom.SAXSVGDocumentFactory,370
org.apache.batik.anim.dom.SAXSVGDocumentFactory,371
org.apache.batik.anim.dom.SAXSVGDocumentFactory,373
org.apache.batik.anim.dom.SAXSVGDocumentFactory,374
org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio,149
org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio,152
org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio,153
org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio,154
org.apache.batik.anim.dom.SVGOMAnimatedPreserveAspectRatio,156
org.apache.batik.apps.rasterizer.Main,774
org.apache.batik.apps.rasterizer.Main,775
org.apache.batik.apps.rasterizer.SVGConverter,564
org.apache.batik.apps.rasterizer.SVGConverter,565
org.apache.batik.apps.rasterizer.SVGConverter,907
org.apache.batik.dom.AbstractElement,644
org.apache.batik.dom.AbstractElement,646
org.apache.batik.dom.AbstractElement,909
org.apache.batik.dom.AbstractElement,910
org.apache.batik.dom.AbstractElement,912
org.apache.batik.dom.AbstractElement,976
org.apache.batik.dom.AbstractElement,977
org.apache.batik.dom.AbstractElement,978
org.apache.batik.dom.util.HashTableStack,75
org.apache.batik.dom.util.HashTableStack,76
org.apache.batik.dom.util.HashTableStack,77
org.apache.batik.dom.util.HashTableStack,78
org.apache.batik.dom.util.SAXDocumentFactory,621
org.apache.batik.dom.util.SAXDocumentFactory,622
org.apache.batik.dom.util.SAXDocumentFactory,625
org.apache.batik.dom.util.SAXDocumentFactory,729
org.apache.batik.dom.util.SAXDocumentFactory,730
org.apache.batik.dom.util.SAXDocumentFactory,731
org.apache.batik.dom.util.SAXDocumentFactory,776
org.apache.batik.dom.util.SAXDocumentFactory,783
org.apache.batik.dom.util.SAXDocumentFactory,809
org.apache.fop.svg.FOPSAXSVGDocumentFactory,60
org.apache.fop.svg.FOPSAXSVGDocumentFactory,72
