path,line
de.sciss.jump3r.mp3.BitStream,224
de.sciss.jump3r.mp3.BitStream,225
de.sciss.jump3r.mp3.BitStream,226
de.sciss.jump3r.mp3.BitStream,227
de.sciss.jump3r.mp3.BitStream,229
de.sciss.jump3r.mp3.BitStream,230
de.sciss.jump3r.mp3.BitStream,232
de.sciss.jump3r.mp3.BitStream,237
de.sciss.jump3r.mp3.BitStream,240
de.sciss.jump3r.mp3.BitStream,241
de.sciss.jump3r.mp3.BitStream,242
de.sciss.jump3r.mp3.BitStream,243
de.sciss.jump3r.mp3.BitStream,246
de.sciss.jump3r.mp3.BitStream,247
de.sciss.jump3r.mp3.BitStream,248
de.sciss.jump3r.mp3.BitStream,276
de.sciss.jump3r.mp3.BitStream,313
de.sciss.jump3r.mp3.BitStream,395
de.sciss.jump3r.mp3.Lame,1197
de.sciss.jump3r.mp3.Parse,1688
de.sciss.jump3r.mp3.Parse,1689
de.sciss.jump3r.mp3.VBRTag,309
de.sciss.jump3r.mp3.VBRTag,891
de.sciss.jump3r.mp3.VBRTag,927
de.sciss.jump3r.mpg.Interface,487
de.sciss.jump3r.mpg.Interface,514
