path,line
de.sciss.jump3r.mp3.BitStream,310
de.sciss.jump3r.mp3.BitStream,313
de.sciss.jump3r.mp3.BitStream,361
de.sciss.jump3r.mp3.Parse,1695
de.sciss.jump3r.mp3.Parse,1696
de.sciss.jump3r.mp3.Parse,1697
de.sciss.jump3r.mp3.Parse,1866
de.sciss.jump3r.mp3.Parse,1867
de.sciss.jump3r.mp3.Parse,1868
de.sciss.jump3r.mp3.Parse,1870
de.sciss.jump3r.mp3.Quantize,708
de.sciss.jump3r.mp3.VBRQuantize,990
de.sciss.jump3r.mp3.VBRQuantize,991
de.sciss.jump3r.mp3.VBRQuantize,992
de.sciss.jump3r.mpg.Common,78
