path,line
de.sciss.jump3r.mp3.ABRIterationLoop,47
de.sciss.jump3r.mp3.BitStream,287
de.sciss.jump3r.mp3.CBRNewIterationLoop,47
de.sciss.jump3r.mp3.CBRNewIterationLoop,48
de.sciss.jump3r.mp3.Encoder,178
de.sciss.jump3r.mp3.Encoder,179
de.sciss.jump3r.mp3.Encoder,478
de.sciss.jump3r.mp3.Encoder,479
de.sciss.jump3r.mp3.Encoder,480
de.sciss.jump3r.mp3.Encoder,518
de.sciss.jump3r.mp3.Encoder,535
de.sciss.jump3r.mp3.Encoder,536
de.sciss.jump3r.mp3.Encoder,537
de.sciss.jump3r.mp3.Encoder,538
de.sciss.jump3r.mp3.Encoder,539
de.sciss.jump3r.mp3.Encoder,540
de.sciss.jump3r.mp3.Encoder,545
de.sciss.jump3r.mp3.Encoder,547
de.sciss.jump3r.mp3.Encoder,548
de.sciss.jump3r.mp3.Encoder,550
de.sciss.jump3r.mp3.Encoder,553
de.sciss.jump3r.mp3.Encoder,560
de.sciss.jump3r.mp3.Encoder,561
de.sciss.jump3r.mp3.GainAnalysis,363
de.sciss.jump3r.mp3.GainAnalysis,364
de.sciss.jump3r.mp3.GainAnalysis,365
de.sciss.jump3r.mp3.Lame,856
de.sciss.jump3r.mp3.Lame,969
de.sciss.jump3r.mp3.Lame,1397
de.sciss.jump3r.mp3.Lame,1467
de.sciss.jump3r.mp3.Lame,1468
de.sciss.jump3r.mp3.Lame,1801
de.sciss.jump3r.mp3.Lame,1802
de.sciss.jump3r.mp3.Lame,1803
de.sciss.jump3r.mp3.NewMDCT,1077
de.sciss.jump3r.mp3.NewMDCT,1078
de.sciss.jump3r.mp3.Parse,1580
de.sciss.jump3r.mp3.Parse,1581
de.sciss.jump3r.mp3.Parse,1583
de.sciss.jump3r.mp3.Parse,1584
de.sciss.jump3r.mp3.Parse,1586
de.sciss.jump3r.mp3.Parse,1589
de.sciss.jump3r.mp3.Parse,1590
de.sciss.jump3r.mp3.Parse,1592
de.sciss.jump3r.mp3.Parse,1593
de.sciss.jump3r.mp3.Parse,1868
de.sciss.jump3r.mp3.PsyModel,244
de.sciss.jump3r.mp3.PsyModel,245
