path,line
de.sciss.jump3r.mp3.Parse,1580
de.sciss.jump3r.mp3.Parse,1581
de.sciss.jump3r.mp3.Parse,1583
de.sciss.jump3r.mp3.Parse,1584
de.sciss.jump3r.mp3.Parse,1586
de.sciss.jump3r.mp3.Parse,1589
de.sciss.jump3r.mp3.Parse,1590
de.sciss.jump3r.mp3.Parse,1592
de.sciss.jump3r.mp3.Parse,1593
de.sciss.jump3r.mp3.Parse,1868
de.sciss.jump3r.mp3.Parse,1870
de.sciss.jump3r.mp3.VBRQuantize,764
de.sciss.jump3r.mp3.VBRQuantize,766
de.sciss.jump3r.mp3.VBRQuantize,977
de.sciss.jump3r.mp3.VBRQuantize,995
de.sciss.jump3r.mp3.VBRQuantize,996
de.sciss.jump3r.mp3.VBRQuantize,997
de.sciss.jump3r.mp3.VBRQuantize,1012
de.sciss.jump3r.mp3.VBRQuantize,1020
de.sciss.jump3r.mpg.Common,67
de.sciss.jump3r.mpg.Common,74
