path,line
de.sciss.jump3r.Main,493
de.sciss.jump3r.Main,494
de.sciss.jump3r.Main,497
de.sciss.jump3r.mp3.BitStream,714
de.sciss.jump3r.mp3.Lame,2058
de.sciss.jump3r.mp3.Parse,1029
de.sciss.jump3r.mp3.Quantize,1343
de.sciss.jump3r.mp3.Quantize,1344
de.sciss.jump3r.mp3.Reservoir,216
de.sciss.jump3r.mp3.VBRTag,747
de.sciss.jump3r.mpg.Common,70
de.sciss.jump3r.mpg.Common,78
de.sciss.jump3r.mpg.Common,82
de.sciss.jump3r.mpg.Common,246
de.sciss.jump3r.mpg.Interface,202
de.sciss.jump3r.mpg.Interface,445
de.sciss.jump3r.mpg.Interface,446
de.sciss.jump3r.mpg.Interface,449
de.sciss.jump3r.mpg.Interface,452
de.sciss.jump3r.mpg.Interface,454
de.sciss.jump3r.mpg.Interface,466
de.sciss.jump3r.mpg.Interface,467
de.sciss.jump3r.mpg.Interface,472
de.sciss.jump3r.mpg.Interface,473
de.sciss.jump3r.mpg.Interface,519
de.sciss.jump3r.mpg.Interface,602
de.sciss.jump3r.mpg.Interface,616
de.sciss.jump3r.mpg.Layer3,394
de.sciss.jump3r.mpg.Layer3,395
de.sciss.jump3r.mpg.Layer3,431
de.sciss.jump3r.mpg.Layer3,1101
de.sciss.jump3r.mpg.Layer3,1102
de.sciss.jump3r.mpg.Layer3,1863
