path,line
de.sciss.jump3r.mp3.BitStream,712
de.sciss.jump3r.mp3.BitStream,713
de.sciss.jump3r.mp3.BitStream,714
de.sciss.jump3r.mp3.BitStream,716
de.sciss.jump3r.mp3.Parse,1029
de.sciss.jump3r.mp3.Quantize,1343
de.sciss.jump3r.mp3.Quantize,1344
de.sciss.jump3r.mp3.Reservoir,216
de.sciss.jump3r.mp3.VBRQuantize,977
de.sciss.jump3r.mp3.VBRQuantize,990
de.sciss.jump3r.mp3.VBRQuantize,991
de.sciss.jump3r.mp3.VBRQuantize,992
de.sciss.jump3r.mp3.VBRQuantize,995
de.sciss.jump3r.mp3.VBRQuantize,996
de.sciss.jump3r.mp3.VBRQuantize,997
de.sciss.jump3r.mp3.VBRQuantize,1012
de.sciss.jump3r.mp3.VBRQuantize,1020
de.sciss.jump3r.mp3.VBRTag,747
de.sciss.jump3r.mpg.Common,67
de.sciss.jump3r.mpg.Common,70
de.sciss.jump3r.mpg.Common,74
de.sciss.jump3r.mpg.Common,78
de.sciss.jump3r.mpg.Common,246
de.sciss.jump3r.mpg.Interface,202
de.sciss.jump3r.mpg.Interface,519
de.sciss.jump3r.mpg.Interface,616
