path,line
de.sciss.jump3r.mp3.BitStream,310
de.sciss.jump3r.mp3.BitStream,313
de.sciss.jump3r.mp3.BitStream,361
de.sciss.jump3r.mp3.NewMDCT,1077
de.sciss.jump3r.mp3.NewMDCT,1078
de.sciss.jump3r.mp3.Parse,1580
de.sciss.jump3r.mp3.Parse,1581
de.sciss.jump3r.mp3.Parse,1583
de.sciss.jump3r.mp3.Parse,1584
de.sciss.jump3r.mp3.Parse,1586
de.sciss.jump3r.mp3.Parse,1589
de.sciss.jump3r.mp3.Parse,1590
de.sciss.jump3r.mp3.Parse,1592
de.sciss.jump3r.mp3.Parse,1593
de.sciss.jump3r.mp3.Parse,1868
de.sciss.jump3r.mp3.VBRQuantize,990
de.sciss.jump3r.mp3.VBRQuantize,991
de.sciss.jump3r.mp3.VBRQuantize,992
de.sciss.jump3r.mpg.Common,78
