path,line
de.sciss.jump3r.mp3.BitStream,373
de.sciss.jump3r.mp3.BitStream,376
de.sciss.jump3r.mp3.Encoder,225
de.sciss.jump3r.mp3.Encoder,230
de.sciss.jump3r.mp3.GetAudio,355
de.sciss.jump3r.mp3.GetAudio,358
de.sciss.jump3r.mp3.GetAudio,359
de.sciss.jump3r.mp3.GetAudio,360
de.sciss.jump3r.mp3.GetAudio,362
de.sciss.jump3r.mp3.GetAudio,367
de.sciss.jump3r.mp3.GetAudio,374
de.sciss.jump3r.mp3.GetAudio,378
de.sciss.jump3r.mp3.GetAudio,379
de.sciss.jump3r.mp3.GetAudio,380
de.sciss.jump3r.mp3.GetAudio,382
de.sciss.jump3r.mp3.GetAudio,387
de.sciss.jump3r.mp3.GetAudio,420
de.sciss.jump3r.mp3.Parse,1681
de.sciss.jump3r.mp3.Parse,1682
de.sciss.jump3r.mp3.PsyModel,1714
de.sciss.jump3r.mp3.PsyModel,1738
de.sciss.jump3r.mp3.PsyModel,1755
de.sciss.jump3r.mp3.PsyModel,1758
de.sciss.jump3r.mp3.VBRQuantize,764
de.sciss.jump3r.mp3.VBRQuantize,766
de.sciss.jump3r.mp3.VBRQuantize,977
de.sciss.jump3r.mp3.VBRQuantize,990
de.sciss.jump3r.mp3.VBRQuantize,991
de.sciss.jump3r.mp3.VBRQuantize,992
de.sciss.jump3r.mp3.VBRQuantize,995
de.sciss.jump3r.mp3.VBRQuantize,996
de.sciss.jump3r.mp3.VBRQuantize,997
de.sciss.jump3r.mp3.VBRQuantize,1012
de.sciss.jump3r.mp3.VBRQuantize,1020
de.sciss.jump3r.mpg.Common,67
de.sciss.jump3r.mpg.Common,70
de.sciss.jump3r.mpg.Common,74
de.sciss.jump3r.mpg.Common,78
