path,line
de.sciss.jump3r.mp3.BitStream,310
de.sciss.jump3r.mp3.BitStream,379
de.sciss.jump3r.mp3.BitStream,780
de.sciss.jump3r.mp3.BitStream,781
de.sciss.jump3r.mp3.BitStream,782
de.sciss.jump3r.mp3.BitStream,792
de.sciss.jump3r.mp3.GetAudio,355
de.sciss.jump3r.mp3.GetAudio,358
de.sciss.jump3r.mp3.GetAudio,359
de.sciss.jump3r.mp3.GetAudio,360
de.sciss.jump3r.mp3.GetAudio,362
de.sciss.jump3r.mp3.GetAudio,367
de.sciss.jump3r.mp3.GetAudio,374
de.sciss.jump3r.mp3.GetAudio,378
de.sciss.jump3r.mp3.GetAudio,379
de.sciss.jump3r.mp3.GetAudio,380
de.sciss.jump3r.mp3.GetAudio,382
de.sciss.jump3r.mp3.GetAudio,387
de.sciss.jump3r.mp3.GetAudio,420
de.sciss.jump3r.mp3.LongBlockConstrain,70
de.sciss.jump3r.mp3.LongBlockConstrain,76
de.sciss.jump3r.mp3.LongBlockConstrain,77
de.sciss.jump3r.mp3.LongBlockConstrain,78
de.sciss.jump3r.mp3.LongBlockConstrain,97
de.sciss.jump3r.mp3.LongBlockConstrain,100
de.sciss.jump3r.mp3.Parse,1681
de.sciss.jump3r.mp3.Parse,1682
de.sciss.jump3r.mp3.PsyModel,861
de.sciss.jump3r.mp3.PsyModel,1714
de.sciss.jump3r.mp3.PsyModel,1738
de.sciss.jump3r.mp3.PsyModel,1758
de.sciss.jump3r.mp3.VBRQuantize,921
de.sciss.jump3r.mp3.VBRQuantize,989
de.sciss.jump3r.mp3.VBRQuantize,990
de.sciss.jump3r.mp3.VBRQuantize,991
de.sciss.jump3r.mp3.VBRQuantize,992
de.sciss.jump3r.mp3.VBRQuantize,994
de.sciss.jump3r.mp3.VBRQuantize,995
de.sciss.jump3r.mp3.VBRQuantize,996
de.sciss.jump3r.mp3.VBRQuantize,997
de.sciss.jump3r.mp3.VBRQuantize,999
de.sciss.jump3r.mp3.VBRQuantize,1000
de.sciss.jump3r.mp3.VBRTag,674
de.sciss.jump3r.mp3.VBRTag,676
