OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config,workload,throughput
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,ycsb-2400,11639.8042641051
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,smallbank-10,14568.2802395099
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,tpcc-2,684.297043038427
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,smallbank-1,19473.6017608214
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,tpcc-8,777.649071577734
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,ycsb-600,16420.1800036172
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,voter-2,31635.8332558255
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,19,voter-16,31806.0499257859
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,smallbank-10,12217.471107106
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,tpcc-2,695.806620888997
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,ycsb-2400,14262.733534625
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,voter-2,25770.5832839397
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,voter-16,25238.783299261
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,tpcc-8,597.47540461564
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,smallbank-1,18746.236360602
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,20,ycsb-600,19440.0557558464
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,ycsb-2400,13461.8030148358
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,smallbank-10,11926.4668752832
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,tpcc-2,684.329782859337
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,tpcc-8,561.395396305122
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,smallbank-1,19470.7301075889
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,ycsb-600,19231.7593005823
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,voter-2,25294.5074826165
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,21,voter-16,25346.7832496889
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,voter-2,25611.783300038
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,voter-16,25423.2499474586
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,smallbank-1,19349.3536915754
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,tpcc-8,588.114535712062
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,ycsb-600,19173.3495977377
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,smallbank-10,12160.649200104
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,tpcc-2,685.728104245102
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,22,ycsb-2400,13811.2846830657
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,smallbank-1,19362.8619492486
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,tpcc-8,647.791191486529
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,ycsb-600,19749.9480340689
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,voter-2,26370.4999261626
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,voter-16,26330.7166649113
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,ycsb-2400,15051.1267230878
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,smallbank-10,12755.8447124724
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,23,tpcc-2,727.495185982481
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,voter-16,25610.6332232076
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,voter-2,25640.116591883
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,ycsb-600,19302.0406992909
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,tpcc-8,591.32501995401
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,smallbank-1,19295.4180528112
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,tpcc-2,704.222902278071
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,smallbank-10,12387.6801469235
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,24,ycsb-2400,14077.7121567002
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,ycsb-600,18816.6613284338
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,tpcc-8,564.906457884292
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,smallbank-1,18799.3913919446
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,voter-16,25719.8999485602
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,voter-2,25525.2999574578
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,ycsb-2400,13117.7705325166
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,tpcc-2,660.960339601784
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,25,smallbank-10,11754.4424552078
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,tpcc-2,777.695028817837
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,smallbank-10,13069.2644379221
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,ycsb-2400,15647.0393698409
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,voter-16,29889.5388427333
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,voter-2,29160.2832643207
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,ycsb-600,22196.9696930392
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,smallbank-1,21091.9202025584
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,26,tpcc-8,635.994668870088
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,ycsb-2400,13864.7954736607
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,tpcc-2,671.614404770094
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,smallbank-10,12163.8813554862
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,ycsb-600,20096.4393366908
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,smallbank-1,18745.1001207155
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,tpcc-8,535.249316468781
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,voter-16,25511.1832793347
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,voter-2,25506.1332763696
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,smallbank-1,17000.9916053009
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,tpcc-8,547.472537767984
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,ycsb-600,18995.7266670997
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,voter-2,25541.5666164349
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,voter-16,25374.5499923876
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,ycsb-2400,12915.3489108056
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,smallbank-10,11899.3670830946
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,28,tpcc-2,658.398746891612
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,voter-2,25633.2219930261
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,voter-16,25369.9165973222
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,smallbank-1,17653.1062720142
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,tpcc-8,576.88040731899
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,ycsb-600,19160.0118383437
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,smallbank-10,11964.4701959875
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,tpcc-2,694.413542939932
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,29,ycsb-2400,13741.9095282432
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,ycsb-2400,13558.7133182418
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,smallbank-10,11789.5563092481
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,tpcc-2,690.089478527763
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,tpcc-8,575.574974967848
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,30,smallbank-1,19437.0238885595
