root,twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,threads,threads_1,threads_2,threads_4,threads_8,arnrMaxFrames,arnrMaxFrames_0,arnrMaxFrames_5,arnrMaxFrames_15,arnrStrength,arnrStrength_0,arnrStrength_3,arnrStrength_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.63,50.542,0.182675,0.00443,0.0,223
1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.16,50.136,0.107378,0.004428,0.0,237
1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,32.14,32.104,0.124218,0.004712,0.0,155
1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,31.43,31.458,0.056303,0.004722,0.0,141
1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,23.12,23.118,0.029496,0.004006,0.0,169
1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,35.36,35.386,0.111937,0.004216,0.0,97
1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,36.35,36.366,0.086197,0.004729,0.0,83
1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,akiyo_cif.y4m,30.9,30.866,0.095551,0.004806,0.0,196
1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,48.02,48.012,0.088713,0.004148,0.0,68
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.39,50.408,0.090388,0.00443,0.0,182
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,26.82,26.798,0.074297,0.004859,0.0,6
1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,22.44,22.452,0.050695,0.004062,0.0,54
1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.04,17.058,0.070852,0.0042,0.0,40
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.24,17.216,0.050794,0.004547,0.0,41
