time,kernel-time,user-time,max-resident-set-size,avg-resident-set-size,avg-mem-use,config_id,partition,workload,ratio,encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting
87.68,0.17,87.98,262416.0,0.0,0.0,91,7,ambivert.wav.tar,0.94151,1,1,0,0,1,0,0,0,1,0,0
5.95,0.15,6.27,161320.0,0.0,0.0,26,7,ambivert.wav.tar,0.941826,1,0,0,0,0,1,0,0,0,0,0
26.38,0.19,26.64,288872.0,0.0,0.0,58,7,ambivert.wav.tar,0.999865,0,0,0,0,0,0,1,1,1,1,0
84.04,0.18,84.31,199728.0,0.0,0.0,8,7,ambivert.wav.tar,0.816931,0,0,0,0,0,0,1,1,0,0,0
3.13,0.17,3.43,160104.0,0.0,0.0,187,7,ambivert.wav.tar,0.999867,1,1,0,0,1,0,0,0,1,0,1
3.09,0.15,3.42,160100.0,0.0,0.0,11,7,ambivert.wav.tar,0.816931,0,0,0,0,1,0,0,0,0,0,1
5.85,0.16,6.15,161324.0,0.0,0.0,146,7,ambivert.wav.tar,0.999924,0,0,0,0,1,0,0,1,0,1,0
5.84,0.14,6.15,161588.0,0.0,0.0,28,7,ambivert.wav.tar,0.816933,1,0,0,1,0,0,0,1,0,0,0
6.06,0.17,6.34,162104.0,0.0,0.0,159,7,ambivert.wav.tar,0.999865,0,0,0,0,1,0,0,1,1,1,0
5.85,0.14,6.15,160040.0,0.0,0.0,156,7,ambivert.wav.tar,0.999865,0,0,0,0,1,0,0,1,0,1,1
6.33,0.14,6.65,160040.0,0.0,0.0,64,7,ambivert.wav.tar,0.999603,0,1,0,0,0,1,0,0,1,1,0
80.97,0.16,81.25,199740.0,0.0,0.0,35,7,ambivert.wav.tar,0.999922,0,1,0,0,0,0,1,0,0,0,0
5.81,0.15,6.13,161848.0,0.0,0.0,69,7,ambivert.wav.tar,0.999924,1,0,0,0,1,0,0,1,1,1,1
3.08,0.16,3.38,160136.0,0.0,0.0,63,7,ambivert.wav.tar,0.999603,0,1,0,0,1,0,0,1,1,1,1
3.2,0.15,3.53,160104.0,0.0,0.0,5,7,ambivert.wav.tar,0.941824,0,0,0,0,1,0,0,0,0,0,0
4.23,0.16,4.53,160072.0,0.0,0.0,189,7,ambivert.wav.tar,0.999865,1,1,0,0,0,1,0,0,1,0,0
3.09,0.16,3.42,160136.0,0.0,0.0,104,7,ambivert.wav.tar,0.999603,1,1,0,0,0,1,0,0,0,0,0
4.3,0.15,4.62,160068.0,0.0,0.0,167,7,ambivert.wav.tar,0.941833,0,1,1,0,0,0,0,1,0,1,0
6.81,0.13,7.69,162076.0,0.0,0.0,86,7,ambivert.wav.tar,0.816933,1,1,0,1,0,0,0,1,0,1,0
3.12,0.17,3.41,160036.0,0.0,0.0,50,7,ambivert.wav.tar,0.999922,0,0,0,0,0,0,1,0,1,0,0
3.06,0.18,3.4,160132.0,0.0,0.0,125,7,ambivert.wav.tar,0.999607,0,1,1,0,0,0,0,1,0,0,0
5.86,0.14,6.2,160128.0,0.0,0.0,87,7,ambivert.wav.tar,0.941833,1,1,0,0,1,0,0,1,0,1,0
6.56,0.16,7.39,161788.0,0.0,0.0,166,7,ambivert.wav.tar,0.897561,0,1,1,0,0,0,0,1,1,0,0
6.24,0.16,6.54,160036.0,0.0,0.0,30,7,ambivert.wav.tar,0.999607,1,0,0,1,0,0,0,0,0,1,0
5.87,0.17,6.13,161324.0,0.0,0.0,148,7,ambivert.wav.tar,0.999867,0,0,0,0,0,1,0,1,1,0,0
3.07,0.14,3.42,160032.0,0.0,0.0,123,7,ambivert.wav.tar,0.999922,1,0,0,0,1,0,0,0,1,0,1
82.75,0.17,83.05,199660.0,0.0,0.0,7,7,ambivert.wav.tar,0.999922,0,0,0,0,0,0,1,0,0,0,0
6.04,0.14,6.35,160036.0,0.0,0.0,145,7,ambivert.wav.tar,0.999867,0,0,0,0,1,0,0,1,1,0,0
3.06,0.17,3.36,160100.0,0.0,0.0,45,7,ambivert.wav.tar,0.941824,0,0,0,0,1,0,0,0,1,0,0
6.57,0.15,7.4,160060.0,0.0,0.0,180,7,ambivert.wav.tar,0.941507,1,0,1,0,0,0,0,1,0,1,0
5.95,0.16,6.25,160036.0,0.0,0.0,115,7,ambivert.wav.tar,0.999607,1,0,0,0,0,1,0,0,1,0,0
4.36,0.17,4.67,160040.0,0.0,0.0,106,7,ambivert.wav.tar,0.999603,1,1,0,0,0,0,1,1,0,0,0
3.04,0.15,3.36,160040.0,0.0,0.0,34,7,ambivert.wav.tar,0.941824,0,1,0,0,0,1,0,0,0,0,0
3.08,0.16,3.37,160100.0,0.0,0.0,154,7,ambivert.wav.tar,0.816933,0,0,1,0,0,0,0,1,1,1,0
3.09,0.16,3.39,160040.0,0.0,0.0,139,7,ambivert.wav.tar,0.941826,0,1,0,0,1,0,0,0,1,0,1
7.07,0.15,7.38,160040.0,0.0,0.0,96,7,ambivert.wav.tar,0.967868,1,1,0,0,0,0,1,0,0,1,0
5.85,0.17,6.14,160124.0,0.0,0.0,116,7,ambivert.wav.tar,0.999924,1,0,0,0,0,1,0,0,0,1,0
5.81,0.16,6.1,161844.0,0.0,0.0,76,7,ambivert.wav.tar,0.941833,1,1,0,0,0,1,0,1,0,1,0
3.17,0.18,3.45,160100.0,0.0,0.0,47,7,ambivert.wav.tar,0.999603,0,0,0,0,0,1,0,1,0,0,0
5.85,0.16,6.17,160136.0,0.0,0.0,22,7,ambivert.wav.tar,0.967868,1,1,0,1,0,0,0,0,1,1,0
3.94,0.15,4.68,161168.0,0.0,0.0,43,7,ambivert.wav.tar,0.941824,0,0,0,1,0,0,0,0,0,1,0
4.16,0.16,4.45,162052.0,0.0,0.0,12,7,ambivert.wav.tar,0.999865,0,1,0,0,0,1,0,1,1,1,0
6.9,0.13,7.23,162084.0,0.0,0.0,190,7,ambivert.wav.tar,0.967865,1,1,0,0,0,1,0,0,0,1,0
4.36,0.14,4.67,160040.0,0.0,0.0,182,7,ambivert.wav.tar,0.816931,1,0,0,0,1,0,0,1,1,0,0
32.2,0.2,32.49,288592.0,0.0,0.0,78,7,ambivert.wav.tar,0.999607,1,1,0,0,0,1,0,1,1,0,0
5.82,0.15,6.12,161324.0,0.0,0.0,160,7,ambivert.wav.tar,0.999867,0,1,0,0,0,0,1,0,1,1,0
7.02,0.15,7.33,160056.0,0.0,0.0,99,7,ambivert.wav.tar,0.897561,1,1,0,1,0,0,0,1,0,0,0
4.37,0.13,4.69,160036.0,0.0,0.0,4,7,ambivert.wav.tar,0.897559,0,0,0,1,0,0,0,0,0,0,0
9.02,0.14,9.33,161240.0,0.0,0.0,162,7,ambivert.wav.tar,0.967868,0,1,0,0,0,0,1,1,1,0,0
5.85,0.15,6.17,161844.0,0.0,0.0,88,7,ambivert.wav.tar,0.999607,1,1,0,0,0,0,1,0,1,1,0
3.17,0.17,3.5,160104.0,0.0,0.0,150,7,ambivert.wav.tar,0.999865,0,0,0,0,0,1,0,0,1,1,0
6.55,0.17,7.37,160064.0,0.0,0.0,97,7,ambivert.wav.tar,0.941826,1,1,0,1,0,0,0,0,1,0,0
5.84,0.15,6.16,161284.0,0.0,0.0,152,7,ambivert.wav.tar,0.999867,0,0,0,0,0,0,1,1,0,1,0
