root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,12.58,12.584,0.036469,0.001047,0.0,223
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,7.22,7.188,0.068337,0.001086,0.0,237
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,1.8,1.806,0.008944,0.000958,0.0,155
1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,akiyo_cif.y4m,1.3,1.298,0.008367,0.001353,0.0,141
1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,1.62,1.612,0.016432,0.000965,0.0,169
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,10.1,10.096,0.060249,0.001083,0.0,97
1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,4.81,4.79,0.041833,0.001123,0.0,83
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,akiyo_cif.y4m,9.65,9.654,0.047223,0.00106,0.0,196
1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,19.93,19.924,0.040373,0.001084,0.0,68
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,11.17,11.166,0.020736,0.001046,0.0,182
1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.82,1.816,0.018166,0.000979,0.0,6
1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,1.42,1.428,0.010954,0.001021,0.0,54
1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,4.01,4.026,0.043932,0.001154,0.0,40
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,21.52,21.504,0.06229,0.001053,0.0,343
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,akiyo_cif.y4m,10.95,10.98,0.042426,0.001063,0.0,342
1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,1.41,1.408,0.008367,0.001055,0.0,41
1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.94,1.944,0.015166,0.000983,0.0,7
1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,2.15,2.156,0.015166,0.00096,0.0,55
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,9.39,9.386,0.021909,0.001046,0.0,183
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,7.14,7.14,0.030822,0.001076,0.0,197
