root;mpm;prefork;worker;moreThreads;moreProcesses;sendfile;compression;noCompression;keepalive;basicAuth;tls;tlsAes128;tlsAes256;maxClients;compressionLevel;revision;performance;cpu;energy;fixed-energy
1;1;1;0;0;0;0;0;1;0;0;1;0;1;512;0;2.2.0;167.776800;48.457587;6923.800000;7162.517912
1;1;1;0;0;0;0;0;1;0;0;1;0;1;1024;0;2.2.0;168.067600;48.260160;6962.200000;7191.716199
1;1;1;0;0;0;0;0;1;0;0;1;0;1;2048;0;2.2.0;166.774400;48.625130;6861.200000;7112.689371
1;1;1;0;0;0;0;0;1;0;0;1;0;1;4096;0;2.2.0;166.614000;48.768388;6940.000000;7196.333111
1;1;1;0;0;0;0;0;1;0;0;1;1;0;512;0;2.2.0;166.194600;48.588119;6969.000000;7247.033497
1;1;1;0;0;0;0;0;1;0;0;1;1;0;1024;0;2.2.0;166.860200;48.396829;7000.600000;7255.569567
1;1;1;0;0;0;0;0;1;0;0;1;1;0;2048;0;2.2.0;164.984000;50.179407;7109.200000;7417.636762
1;1;1;0;0;0;0;0;1;0;0;1;1;0;4096;0;2.2.0;165.465600;50.186376;7176.000000;7472.259391
1;1;1;0;0;0;0;0;1;0;1;1;0;1;512;0;2.2.0;166.803200;51.174518;7083.600000;7338.644391
1;1;1;0;0;0;0;0;1;0;1;1;0;1;1024;0;2.2.0;168.737400;51.147795;7176.200000;7393.603674
1;1;1;0;0;0;0;0;1;0;1;1;0;1;2048;0;2.2.0;165.355200;52.959895;7355.600000;7656.021351
1;1;1;0;0;0;0;0;1;0;1;1;0;1;4096;0;2.2.0;166.504200;51.566897;7094.000000;7357.740031
1;1;1;0;0;0;0;0;1;0;1;1;1;0;512;0;2.2.0;166.528600;51.131616;7013.000000;7268.138454
1;1;1;0;0;0;0;0;1;0;1;1;1;0;1024;0;2.2.0;167.363400;51.214656;7196.400000;7444.469690
1;1;1;0;0;0;0;0;1;0;1;1;1;0;2048;0;2.2.0;166.791800;51.709810;7184.200000;7438.283381
1;1;1;0;0;0;0;0;1;0;1;1;1;0;4096;0;2.2.0;167.769800;51.084158;7158.000000;7393.500392
1;1;1;0;0;0;0;0;1;1;0;1;0;1;512;0;2.2.0;32.474200;47.191250;1297.800000;4165.227518
1;1;1;0;0;0;0;0;1;1;0;1;0;1;1024;0;2.2.0;32.477800;47.105436;1328.800000;4258.864302
1;1;1;0;0;0;0;0;1;1;0;1;0;1;2048;0;2.2.0;32.447600;47.378750;1305.400000;4257.693727
1;1;1;0;0;0;0;0;1;1;0;1;0;1;4096;0;2.2.0;32.509000;47.057046;1324.600000;4263.574556
1;1;1;0;0;0;0;0;1;1;0;1;1;0;512;0;2.2.0;32.121400;47.456351;1279.000000;4197.717586
1;1;1;0;0;0;0;0;1;1;0;1;1;0;1024;0;2.2.0;32.268000;47.364698;1299.800000;4149.916072
1;1;1;0;0;0;0;0;1;1;0;1;1;0;2048;0;2.2.0;32.224800;47.829375;1325.000000;4211.995414
1;1;1;0;0;0;0;0;1;1;0;1;1;0;4096;0;2.2.0;31.998400;47.995968;1297.800000;4155.956293
1;1;1;0;0;0;0;0;1;1;1;1;0;1;512;0;2.2.0;32.317400;62.743750;1502.600000;4506.579397
1;1;1;0;0;0;0;0;1;1;1;1;0;1;1024;0;2.2.0;32.767400;62.035720;1491.200000;4367.901455
1;1;1;0;0;0;0;0;1;1;1;1;0;1;2048;0;2.2.0;33.000600;61.601212;1487.400000;4341.352994
1;1;1;0;0;0;0;0;1;1;1;1;0;1;4096;0;2.2.0;33.021800;61.138788;1497.400000;4336.499940
1;1;1;0;0;0;0;0;1;1;1;1;1;0;512;0;2.2.0;32.331800;61.680000;1461.400000;4347.047753
1;1;1;0;0;0;0;0;1;1;1;1;1;0;1024;0;2.2.0;32.546600;61.498750;1462.600000;4372.479025
1;1;1;0;0;0;0;0;1;1;1;1;1;0;2048;0;2.2.0;32.650000;61.578788;1489.800000;4396.356543
1;1;1;0;0;0;0;0;1;1;1;1;1;0;4096;0;2.2.0;32.833400;61.495492;1469.400000;4339.144288
1;1;1;0;0;0;1;0;1;0;0;1;0;1;512;0;2.2.0;166.168000;48.427157;6918.800000;7193.201511
1;1;1;0;0;0;1;0;1;0;0;1;0;1;1024;0;2.2.0;168.143600;48.209878;6993.800000;7228.693149
1;1;1;0;0;0;1;0;1;0;0;1;0;1;2048;0;2.2.0;166.978200;48.559741;6891.400000;7141.449177
1;1;1;0;0;0;1;0;1;0;0;1;0;1;4096;0;2.2.0;167.490000;48.469593;7019.200000;7264.286129
1;1;1;0;0;0;1;0;1;0;0;1;1;0;512;0;2.2.0;167.026800;48.438165;6941.000000;7200.198293
1;1;1;0;0;0;1;0;1;0;0;1;1;0;1024;0;2.2.0;165.405800;50.321042;7128.000000;7422.337384
1;1;1;0;0;0;1;0;1;0;0;1;1;0;2048;0;2.2.0;166.692600;48.756211;6971.200000;7229.120048
1;1;1;0;0;0;1;0;1;0;0;1;1;0;4096;0;2.2.0;164.911400;49.496850;6990.800000;7288.516356
1;1;1;0;0;0;1;0;1;0;1;1;0;1;512;0;2.2.0;167.164400;51.149682;7134.400000;7384.199558
1;1;1;0;0;0;1;0;1;0;1;1;0;1;1024;0;2.2.0;167.791400;51.123647;7205.400000;7441.913645
1;1;1;0;0;0;1;0;1;0;1;1;0;1;2048;0;2.2.0;168.323800;51.098251;7080.800000;7306.892520
1;1;1;0;0;0;1;0;1;0;1;1;0;1;4096;0;2.2.0;166.620000;51.710065;7196.600000;7457.420468
1;1;1;0;0;0;1;0;1;0;1;1;1;0;512;0;2.2.0;166.363600;51.462748;7111.600000;7381.981399
1;1;1;0;0;0;1;0;1;0;1;1;1;0;1024;0;2.2.0;166.663400;51.613413;7111.200000;7372.869009
1;1;1;0;0;0;1;0;1;0;1;1;1;0;2048;0;2.2.0;166.599200;51.518738;7140.200000;7401.533784
1;1;1;0;0;0;1;0;1;0;1;1;1;0;4096;0;2.2.0;167.885200;51.281297;7199.000000;7440.431145
1;1;1;0;0;0;1;0;1;1;0;1;0;1;512;0;2.2.0;32.389000;47.132992;1307.400000;4157.801420
1;1;1;0;0;0;1;0;1;1;0;1;0;1;1024;0;2.2.0;31.977400;48.958589;1303.400000;4326.333694
1;1;1;0;0;0;1;0;1;1;0;1;0;1;2048;0;2.2.0;32.390000;47.281250;1325.600000;4214.538472
1;1;1;0;0;0;1;0;1;1;0;1;0;1;4096;0;2.2.0;32.543200;46.825284;1293.400000;4151.544504
1;1;1;0;0;0;1;0;1;1;0;1;1;0;512;0;2.2.0;32.114400;47.290000;1300.600000;4201.873663
1;1;1;0;0;0;1;0;1;1;0;1;1;0;1024;0;2.2.0;31.903400;47.313920;1274.000000;4168.856609
1;1;1;0;0;0;1;0;1;1;0;1;1;0;2048;0;2.2.0;32.088400;47.291250;1285.800000;4156.401693
1;1;1;0;0;0;1;0;1;1;0;1;1;0;4096;0;2.2.0;32.237000;47.347292;1308.800000;4212.954795
1;1;1;0;0;0;1;0;1;1;1;1;0;1;512;0;2.2.0;32.952000;60.917576;1490.200000;4378.339580
1;1;1;0;0;0;1;0;1;1;1;1;0;1;1024;0;2.2.0;32.272000;64.708024;1524.000000;4465.615439
1;1;1;0;0;0;1;0;1;1;1;1;0;1;2048;0;2.2.0;32.748800;61.392045;1443.200000;4315.012482
1;1;1;0;0;0;1;0;1;1;1;1;0;1;4096;0;2.2.0;32.952800;61.498182;1497.200000;4348.665911
1;1;1;0;0;0;1;0;1;1;1;1;1;0;512;0;2.2.0;32.465000;61.370095;1458.200000;4392.394363
1;1;1;0;0;0;1;0;1;1;1;1;1;0;1024;0;2.2.0;32.733400;61.409697;1457.400000;4325.743744
1;1;1;0;0;0;1;0;1;1;1;1;1;0;2048;0;2.2.0;32.732800;61.330701;1465.000000;4345.371061
1;1;1;0;0;0;1;0;1;1;1;1;1;0;4096;0;2.2.0;32.497400;61.652078;1469.400000;4312.748483
1;1;1;0;0;0;0;1;0;0;0;1;0;1;512;1;2.2.0;166.300800;49.437730;6895.600000;7160.827271
1;1;1;0;0;0;0;1;0;0;0;1;0;1;1024;1;2.2.0;168.575600;48.876990;7148.800000;7376.394672
1;1;1;0;0;0;0;1;0;0;0;1;0;1;2048;1;2.2.0;168.358000;49.017243;7123.400000;7348.355183
1;1;1;0;0;0;0;1;0;0;0;1;0;1;4096;1;2.2.0;165.910200;49.809585;7033.000000;7308.975062
1;1;1;0;0;0;0;1;0;0;0;1;0;1;512;5;2.2.0;166.629400;49.634731;7062.600000;7323.428818
1;1;1;0;0;0;0;1;0;0;0;1;0;1;1024;5;2.2.0;165.114200;50.236828;7068.200000;7360.904896
1;1;1;0;0;0;0;1;0;0;0;1;0;1;2048;5;2.2.0;166.502400;49.911482;7175.200000;7439.950791
1;1;1;0;0;0;0;1;0;0;0;1;0;1;4096;5;2.2.0;167.336600;49.216094;6972.800000;7215.018645
1;1;1;0;0;0;0;1;0;0;0;1;0;1;512;9;2.2.0;165.541800;50.774591;7263.000000;7560.136836
1;1;1;0;0;0;0;1;0;0;0;1;0;1;1024;9;2.2.0;166.377200;49.848020;7170.200000;7431.058956
1;1;1;0;0;0;0;1;0;0;0;1;0;1;2048;9;2.2.0;165.919800;49.870760;7110.400000;7387.813063
1;1;1;0;0;0;0;1;0;0;0;1;0;1;4096;9;2.2.0;167.080400;49.808042;7111.200000;7366.552230
1;1;1;0;0;0;0;1;0;0;0;1;1;0;512;1;2.2.0;167.105600;48.975657;7074.400000;7316.349537
1;1;1;0;0;0;0;1;0;0;0;1;1;0;1024;1;2.2.0;167.517800;49.293976;7137.400000;7380.953117
1;1;1;0;0;0;0;1;0;0;0;1;1;0;2048;1;2.2.0;167.191600;49.531504;7211.000000;7460.268498
1;1;1;0;0;0;0;1;0;0;0;1;1;0;4096;1;2.2.0;167.098000;49.070770;6936.200000;7187.996463
1;1;1;0;0;0;0;1;0;0;0;1;1;0;512;5;2.2.0;166.621200;49.659812;7184.000000;7445.873888
1;1;1;0;0;0;0;1;0;0;0;1;1;0;1024;5;2.2.0;167.408200;49.162584;7140.400000;7385.185808
1;1;1;0;0;0;0;1;0;0;0;1;1;0;2048;5;2.2.0;167.067400;49.578570;7103.000000;7356.353015
1;1;1;0;0;0;0;1;0;0;0;1;1;0;4096;5;2.2.0;167.179000;49.533686;7125.000000;7370.102200
1;1;1;0;0;0;0;1;0;0;0;1;1;0;512;9;2.2.0;167.812800;48.888366;7116.400000;7356.566702
1;1;1;0;0;0;0;1;0;0;0;1;1;0;1024;9;2.2.0;166.443400;49.767634;7166.200000;7431.624271
1;1;1;0;0;0;0;1;0;0;0;1;1;0;2048;9;2.2.0;167.909000;49.172219;7108.600000;7346.980722
1;1;1;0;0;0;0;1;0;0;0;1;1;0;4096;9;2.2.0;166.560800;49.637635;7041.600000;7300.241910
1;1;1;0;0;0;0;1;0;0;1;1;0;1;512;1;2.2.0;167.976800;51.947200;7320.200000;7556.463716
1;1;1;0;0;0;0;1;0;0;1;1;0;1;1024;1;2.2.0;167.977600;52.578235;7279.000000;7520.767882
1;1;1;0;0;0;0;1;0;0;1;1;0;1;2048;1;2.2.0;168.200400;52.259002;7309.000000;7535.796553
1;1;1;0;0;0;0;1;0;0;1;1;0;1;4096;1;2.2.0;168.181200;52.166358;7302.000000;7532.755236
1;1;1;0;0;0;0;1;0;0;1;1;0;1;512;5;2.2.0;168.112400;51.955454;7348.000000;7582.406794
1;1;1;0;0;0;0;1;0;0;1;1;0;1;1024;5;2.2.0;167.435800;52.488827;7305.600000;7554.208918
1;1;1;0;0;0;0;1;0;0;1;1;0;1;2048;5;2.2.0;167.388600;52.502508;7244.200000;7485.940127
1;1;1;0;0;0;0;1;0;0;1;1;0;1;4096;5;2.2.0;165.995400;53.563757;7150.000000;7432.190111
1;1;1;0;0;0;0;1;0;0;1;1;0;1;512;9;2.2.0;166.117800;53.977180;7404.200000;7688.689196
1;1;1;0;0;0;0;1;0;0;1;1;0;1;1024;9;2.2.0;168.504200;52.051880;7349.200000;7571.327649
1;1;1;0;0;0;0;1;0;0;1;1;0;1;2048;9;2.2.0;168.283800;52.312389;7315.800000;7548.124969
1;1;1;0;0;0;0;1;0;0;1;1;0;1;4096;9;2.2.0;166.384200;52.855980;7302.600000;7564.615611
1;1;1;0;0;0;0;1;0;0;1;1;1;0;512;1;2.2.0;166.865600;52.633595;7289.800000;7546.652034
1;1;1;0;0;0;0;1;0;0;1;1;1;0;1024;1;2.2.0;166.278000;52.810220;7349.000000;7617.761596
1;1;1;0;0;0;0;1;0;0;1;1;1;0;2048;1;2.2.0;166.948800;52.314661;7280.400000;7533.907955
1;1;1;0;0;0;0;1;0;0;1;1;1;0;4096;1;2.2.0;167.955600;52.276090;7272.400000;7500.270495
1;1;1;0;0;0;0;1;0;0;1;1;1;0;512;5;2.2.0;165.201400;54.359744;7388.200000;7694.675363
1;1;1;0;0;0;0;1;0;0;1;1;1;0;1024;5;2.2.0;167.144000;52.939147;7325.800000;7577.762576
1;1;1;0;0;0;0;1;0;0;1;1;1;0;2048;5;2.2.0;168.328800;52.070694;7315.200000;7544.827933
1;1;1;0;0;0;0;1;0;0;1;1;1;0;4096;5;2.2.0;165.555800;54.147778;7433.200000;7729.621985
1;1;1;0;0;0;0;1;0;0;1;1;1;0;512;9;2.2.0;165.847000;53.680124;7393.000000;7684.739343
1;1;1;0;0;0;0;1;0;0;1;1;1;0;1024;9;2.2.0;165.561200;53.278625;7279.600000;7559.608624
1;1;1;0;0;0;0;1;0;0;1;1;1;0;2048;9;2.2.0;166.837200;52.871407;7316.400000;7567.276168
1;1;1;0;0;0;0;1;0;0;1;1;1;0;4096;9;2.2.0;167.049600;52.647210;7379.400000;7630.179926
1;1;1;0;0;0;1;1;0;0;0;1;0;1;512;1;2.2.0;167.896200;48.591636;7102.000000;7339.460909
1;1;1;0;0;0;1;1;0;0;0;1;0;1;1024;1;2.2.0;165.880000;51.661975;7317.600000;7611.256823
1;1;1;0;0;0;1;1;0;0;0;1;0;1;2048;1;2.2.0;167.236800;49.371003;7050.200000;7293.878243
1;1;1;0;0;0;1;1;0;0;0;1;0;1;4096;1;2.2.0;168.254400;49.085581;7152.200000;7378.707759
1;1;1;0;0;0;1;1;0;0;0;1;0;1;512;5;2.2.0;168.130800;48.888293;7069.600000;7302.460496
1;1;1;0;0;0;1;1;0;0;0;1;0;1;1024;5;2.2.0;167.217800;49.447284;7138.800000;7381.406462
1;1;1;0;0;0;1;1;0;0;0;1;0;1;2048;5;2.2.0;167.170800;49.469642;7137.800000;7384.334671
1;1;1;0;0;0;1;1;0;0;0;1;0;1;4096;5;2.2.0;167.177000;49.279396;7197.600000;7448.606583
1;1;1;0;0;0;1;1;0;0;0;1;0;1;512;9;2.2.0;166.854000;49.375258;6963.000000;7214.760700
