root;ee_instrument;simplifycfg;ipsccp;called_value_propagation;basicaa;instcombine;inline;mergereturn;jump_threading;pgo_memop_opt;tailcallelim;licm;sink;gvn;sccp;adce;performance;energy
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52285.400000;1701.800000
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;52324.800000;1689.000000
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;55493.000000;1824.400000
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;56400.000000;1918.800000
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57087.800000;1927.000000
1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;57817.800000;1952.200000
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;57127.400000;1945.600000
1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;57750.400000;1925.000000
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;56974.000000;1929.200000
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;56997.800000;1897.600000
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;58023.000000;1991.600000
1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;58200.000000;1943.400000
1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;57251.400000;1958.400000
1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;59022.600000;2037.600000
1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;57245.400000;1966.600000
1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;58849.600000;1981.200000
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;56380.600000;1935.200000
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;56750.000000;1909.600000
1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;59311.800000;2017.400000
1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;58937.000000;1987.000000
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;59593.400000;2020.800000
1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;59883.600000;2034.200000
1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;59575.600000;2019.400000
1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;60170.000000;2065.600000
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;59857.200000;1996.800000
1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;60273.800000;2035.200000
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;60735.200000;2088.200000
1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;60842.800000;2039.800000
1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;60417.200000;2032.000000
1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;61320.200000;2139.000000
1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;60462.600000;2050.800000
1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;61418.200000;2089.200000
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;59307.400000;2024.000000
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;59018.600000;2020.000000
1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;62086.000000;2116.600000
1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;62047.800000;2100.400000
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;62746.200000;2150.200000
1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;63472.000000;2185.200000
1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;63087.400000;2176.000000
1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;63585.400000;2139.200000
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;62256.200000;2102.000000
1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;61992.000000;2133.200000
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;65415.400000;2245.400000
1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;65307.200000;2235.000000
1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;64668.200000;2154.600000
1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;65991.600000;2264.800000
1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;64607.000000;2174.600000
1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;66183.000000;2232.000000
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;62898.000000;2121.200000
1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;62699.800000;2187.600000
1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;63181.200000;2117.200000
1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;63162.600000;2129.600000
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;65212.000000;2244.200000
1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;65763.400000;2212.400000
1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;65282.200000;2232.600000
1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;65668.400000;2231.600000
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;64074.200000;2161.200000
1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;64060.600000;2192.600000
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;66516.000000;2233.800000
1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;66684.200000;2233.000000
1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;64642.800000;2223.800000
1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;67200.600000;2270.200000
1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;64835.000000;2168.800000
1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;67209.000000;2323.400000
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;55426.000000;1905.400000
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;55246.600000;1868.200000
1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;57888.200000;1951.800000
1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;57892.200000;1977.800000
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;58776.600000;1999.200000
1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;59254.800000;2012.600000
1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;58788.200000;1981.000000
1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;59394.000000;2052.600000
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;58378.400000;2014.600000
1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;58637.000000;2003.200000
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;59745.200000;2008.200000
1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;59661.400000;2036.800000
1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;58793.800000;2032.800000
1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;60387.000000;2040.400000
1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;58863.400000;1987.200000
1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;60295.600000;2101.800000
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;61076.800000;2078.000000
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;60983.000000;2046.600000
1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;63565.200000;2160.000000
1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;63553.200000;2169.000000
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;64348.800000;2201.200000
1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;64671.000000;2207.200000
1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;64257.800000;2213.400000
1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;64870.200000;2181.400000
