root;journal;nojournal;journalCompression;journalCompressionSnappy;journalCompressionZlib;ssl;networkCompression;networkCompressionSnappy;networkCompressionZlib;wireObjectCheck;dataCompression;dataCompressionSnappy;dataCompressionZlib;indexPrefixCompression;journalCommitInterval;cacheSize;energy;performance
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;256;7012.400000;213141.800000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;512;6868.000000;210227.400000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1024;6760.000000;208212.000000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2048;6798.000000;206356.000000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4096;6937.000000;212538.200000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;256;10167.400000;289875.000000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;512;9541.200000;282382.000000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1024;9568.600000;281613.000000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2048;9680.400000;280991.200000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;4096;9711.200000;285044.600000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;256;6785.000000;210540.400000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;512;6791.000000;211658.200000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1024;6909.800000;210459.400000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;2048;6851.400000;212133.200000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;4096;6849.600000;212470.400000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;256;9832.400000;285264.000000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;512;9811.200000;281682.000000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1024;9810.000000;287855.400000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;2048;9880.800000;284911.200000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;4096;9648.000000;284776.600000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;256;6829.000000;210550.600000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;512;6838.400000;208790.800000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1024;6871.400000;213360.200000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2048;6783.000000;209169.400000
1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;4096;6754.600000;209407.800000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;256;7056.400000;214489.600000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;512;6961.200000;214902.800000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1024;6909.400000;211515.400000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;2048;6783.800000;210777.000000
1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;4096;6859.000000;208808.200000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;256;9651.600000;283621.000000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;512;9531.800000;280847.600000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1024;9961.800000;280589.400000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;2048;9764.800000;284188.800000
1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;4096;9724.400000;283064.600000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;256;9652.600000;282258.200000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;512;9671.800000;284702.800000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1024;9697.200000;282503.600000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;2048;10137.600000;287329.200000
1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;4096;9867.400000;285730.400000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;256;6741.200000;209887.000000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;512;6938.600000;209100.400000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1024;6730.000000;208741.600000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;2048;6827.000000;211023.000000
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;4096;6762.800000;207052.000000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;256;6794.800000;210805.200000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;512;7046.400000;215827.600000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1024;6853.600000;212738.800000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;2048;7009.800000;216785.000000
1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;4096;6927.400000;211197.200000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;256;9814.800000;281399.800000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;512;9779.000000;288695.200000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1024;9678.600000;286867.400000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;2048;9752.800000;288569.600000
1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;4096;9761.800000;287173.200000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;256;9850.600000;284881.200000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;512;9808.600000;287750.600000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1024;9840.600000;288207.400000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;2048;9812.600000;285984.800000
1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;4096;9823.400000;285639.800000
