root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;0;0;0;0;64;2;256;8.3.0;46272.200000;1494.000000
1;0;0;0;0;0;128;2;256;8.3.0;46236.800000;1474.400000
1;0;0;0;0;0;256;2;256;8.3.0;46207.600000;1461.600000
1;0;0;0;0;0;64;8;256;8.3.0;46297.600000;1472.000000
1;0;0;0;0;0;128;8;256;8.3.0;46204.000000;1492.600000
1;0;0;0;0;0;256;8;256;8.3.0;46305.600000;1465.000000
1;0;0;0;0;0;64;32;256;8.3.0;46471.200000;1473.400000
1;0;0;0;0;0;128;32;256;8.3.0;46255.000000;1482.000000
1;0;0;0;0;0;256;32;256;8.3.0;46275.000000;1484.600000
1;0;0;0;0;0;64;2;1024;8.3.0;47571.000000;1555.600000
1;0;0;0;0;0;128;2;1024;8.3.0;46169.200000;1465.000000
1;0;0;0;0;0;256;2;1024;8.3.0;46194.600000;1469.400000
1;0;0;0;0;0;64;8;1024;8.3.0;46349.400000;1486.800000
1;0;0;0;0;0;128;8;1024;8.3.0;46208.000000;1487.600000
1;0;0;0;0;0;256;8;1024;8.3.0;46252.000000;1464.200000
1;0;0;0;0;0;64;32;1024;8.3.0;46298.400000;1461.800000
1;0;0;0;0;0;128;32;1024;8.3.0;46582.200000;1497.600000
1;0;0;0;0;0;256;32;1024;8.3.0;46256.600000;1474.000000
1;0;0;0;0;0;64;2;4096;8.3.0;46558.600000;1484.200000
1;0;0;0;0;0;128;2;4096;8.3.0;46501.200000;1528.000000
1;0;0;0;0;0;256;2;4096;8.3.0;46167.000000;1502.000000
1;0;0;0;0;0;64;8;4096;8.3.0;46285.000000;1520.200000
1;0;0;0;0;0;128;8;4096;8.3.0;46245.800000;1491.000000
1;0;0;0;0;0;256;8;4096;8.3.0;46426.600000;1503.600000
1;0;0;0;0;0;64;32;4096;8.3.0;46314.400000;1519.800000
1;0;0;0;0;0;128;32;4096;8.3.0;46476.200000;1514.400000
1;0;0;0;0;0;256;32;4096;8.3.0;46042.400000;1501.200000
1;0;0;0;0;1;64;2;256;8.3.0;46337.000000;1510.000000
1;0;0;0;0;1;128;2;256;8.3.0;47198.600000;1516.600000
1;0;0;0;0;1;256;2;256;8.3.0;46214.200000;1517.200000
1;0;0;0;0;1;64;8;256;8.3.0;46194.800000;1506.400000
1;0;0;0;0;1;128;8;256;8.3.0;46184.200000;1467.600000
1;0;0;0;0;1;256;8;256;8.3.0;46100.400000;1476.600000
1;0;0;0;0;1;64;32;256;8.3.0;46295.400000;1507.400000
1;0;0;0;0;1;128;32;256;8.3.0;46035.000000;1490.200000
1;0;0;0;0;1;256;32;256;8.3.0;46294.800000;1494.400000
1;0;0;0;0;1;64;2;1024;8.3.0;46267.800000;1492.200000
1;0;0;0;0;1;128;2;1024;8.3.0;46113.200000;1496.800000
1;0;0;0;0;1;256;2;1024;8.3.0;46354.200000;1518.800000
1;0;0;0;0;1;64;8;1024;8.3.0;46184.400000;1480.800000
1;0;0;0;0;1;128;8;1024;8.3.0;46255.200000;1512.800000
1;0;0;0;0;1;256;8;1024;8.3.0;46303.000000;1484.400000
1;0;0;0;0;1;64;32;1024;8.3.0;46172.200000;1461.000000
1;0;0;0;0;1;128;32;1024;8.3.0;46299.200000;1473.000000
1;0;0;0;0;1;256;32;1024;8.3.0;46176.600000;1471.400000
1;0;0;0;0;1;64;2;4096;8.3.0;47346.200000;1533.200000
1;0;0;0;0;1;128;2;4096;8.3.0;46108.200000;1471.000000
1;0;0;0;0;1;256;2;4096;8.3.0;47094.800000;1539.800000
1;0;0;0;0;1;64;8;4096;8.3.0;46327.800000;1480.600000
