root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads;tokenParts;arnrMaxFrames;arnrStrength;revision;performance;energy
1;0;1;0;0;1;0;0;0;0;1;0;0;0;v0.9.1;11505.200000;368.200000
1;0;1;0;0;1;0;0;0;0;2;0;0;0;v0.9.1;9384.800000;349.200000
1;0;1;0;0;1;0;0;0;0;3;0;0;0;v0.9.1;9156.400000;346.400000
1;0;1;0;0;1;0;0;0;0;4;0;0;0;v0.9.1;9314.600000;464.000000
1;0;1;0;0;1;0;0;0;0;1;1;0;0;v0.9.1;11971.000000;472.200000
1;0;1;0;0;1;0;0;0;0;2;1;0;0;v0.9.1;10381.600000;428.200000
1;0;1;0;0;1;0;0;0;0;3;1;0;0;v0.9.1;9587.400000;446.000000
1;0;1;0;0;1;0;0;0;0;4;1;0;0;v0.9.1;9149.600000;421.000000
1;0;1;0;0;1;0;0;0;0;1;2;0;0;v0.9.1;12067.800000;503.400000
1;0;1;0;0;1;0;0;0;0;2;2;0;0;v0.9.1;10985.200000;440.400000
1;0;1;0;0;1;0;0;0;0;3;2;0;0;v0.9.1;9463.400000;447.800000
1;0;1;0;0;1;0;0;0;0;4;2;0;0;v0.9.1;9196.800000;418.400000
1;0;1;0;0;1;0;0;0;0;1;0;5;0;v0.9.1;11863.800000;441.800000
1;0;1;0;0;1;0;0;0;0;2;0;5;0;v0.9.1;10460.400000;459.200000
1;0;1;0;0;1;0;0;0;0;3;0;5;0;v0.9.1;9696.000000;436.400000
1;0;1;0;0;1;0;0;0;0;4;0;5;0;v0.9.1;9390.400000;464.200000
1;0;1;0;0;1;0;0;0;0;1;1;5;0;v0.9.1;11992.200000;482.400000
1;0;1;0;0;1;0;0;0;0;2;1;5;0;v0.9.1;10405.200000;440.200000
1;0;1;0;0;1;0;0;0;0;3;1;5;0;v0.9.1;9643.400000;450.000000
1;0;1;0;0;1;0;0;0;0;4;1;5;0;v0.9.1;9141.000000;417.800000
1;0;1;0;0;1;0;0;0;0;1;2;5;0;v0.9.1;11933.600000;449.400000
1;0;1;0;0;1;0;0;0;0;2;2;5;0;v0.9.1;10390.000000;438.600000
