workload;root;NoRes;NoReplayGain;CBR_8;VBRRange_high;ABR_320;Downmix;ReplayGainFast;MidSideStereo;VBRRange_low;Freeformat;HighpassWidth_2000;Resampling_8;LowpassWidth_1000;Mono;DualChannels;Stereo;CBR_160;Resampling_22;CRC;Highpass_25000;HighpassWidth_1000;LowpassWidth_2000;JointStereo;Highpass_20000;CBR_320;Highpass_30000;Lowpass_5000;SwapBytes;Lowpass_20000;ReplayGainAccurate;VBRRange_wide;Lowpass_10000;Resampling_44;Resampling_48;ABR_8;ABR_160;energy;performance
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;176.477134726;1.354
dual-channel.wav;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;294.931706704;3.626
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;490.328627272;7.89
dual-channel.wav;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;274.581444718;3.96
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;293.224178112;3.962
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;256.551794414;2.848
dual-channel.wav;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;300.039663312;4.602
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;264.649102996;2.808
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;293.601475566;3.554
dual-channel.wav;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;418.953358582;6.558
dual-channel.wav;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;256.626199566;3.176
dual-channel.wav;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;374.116958044;5.556
dual-channel.wav;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;306.72098351;3.904
dual-channel.wav;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210.26124896;2.16
dual-channel.wav;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277.799620794;3.386
