root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;0;0;1;1;2;0.076731;0.047451
1;0;0;0;0;0;0;0;0;0;2;1;2;0.033518;0.034327
1;0;0;0;0;0;0;0;0;0;3;1;2;0.020087;0.026039
1;0;0;0;0;0;0;0;0;0;4;1;2;0.055460;0.002949
1;0;0;0;0;0;0;0;0;0;5;1;2;0.027723;0.008499
1;0;0;0;0;0;0;0;0;0;6;1;2;0.023580;0.005571
1;0;0;0;0;0;0;0;0;0;7;1;2;0.043349;0.003962
1;0;0;0;0;0;0;0;0;0;8;1;2;0.038713;0.003663
1;0;0;0;0;0;0;0;0;0;9;1;2;0.036033;0.002558
1;0;0;0;0;0;0;0;0;0;1;2;2;0.030168;0.005238
1;0;0;0;0;0;0;0;0;0;2;2;2;0.055905;0.010496
1;0;0;0;0;0;0;0;0;0;3;2;2;0.038536;0.007222
1;0;0;0;0;0;0;0;0;0;4;2;2;0.052292;0.007343
1;0;0;0;0;0;0;0;0;0;5;2;2;0.030446;0.013180
1;0;0;0;0;0;0;0;0;0;6;2;2;0.021968;0.016848
1;0;0;0;0;0;0;0;0;0;7;2;2;0.022292;0.006688
1;0;0;0;0;0;0;0;0;0;8;2;2;0.035448;0.026956
1;0;0;0;0;0;0;0;0;0;9;2;2;0.046709;0.006307
1;0;0;0;0;0;0;0;0;0;1;3;2;0.028670;0.015879
1;0;0;0;0;0;0;0;0;0;2;3;2;0.051090;0.028898
1;0;0;0;0;0;0;0;0;0;3;3;2;0.047561;0.021172
1;0;0;0;0;0;0;0;0;0;4;3;2;0.038613;0.024618
1;0;0;0;0;0;0;0;0;0;5;3;2;0.016040;0.010705
1;0;0;0;0;0;0;0;0;0;6;3;2;0.037696;0.009498
1;0;0;0;0;0;0;0;0;0;7;3;2;0.049668;0.015221
1;0;0;0;0;0;0;0;0;0;8;3;2;0.025514;0.005047
1;0;0;0;0;0;0;0;0;0;9;3;2;0.039132;0.012342
1;0;0;0;0;0;0;0;0;0;1;4;2;0.037945;0.026762
1;0;0;0;0;0;0;0;0;0;2;4;2;0.046846;0.031427
1;0;0;0;0;0;0;0;0;0;3;4;2;0.039908;0.035163
1;0;0;0;0;0;0;0;0;0;4;4;2;0.060050;0.037975
1;0;0;0;0;0;0;0;0;0;5;4;2;0.044117;0.015746
1;0;0;0;0;0;0;0;0;0;6;4;2;0.035473;0.011121
1;0;0;0;0;0;0;0;0;0;7;4;2;0.045907;0.008442
1;0;0;0;0;0;0;0;0;0;8;4;2;0.048905;0.007242
1;0;0;0;0;0;0;0;0;0;9;4;2;0.052454;0.010533
1;0;0;0;0;0;0;0;0;0;1;1;6;0.063031;0.021113
1;0;0;0;0;0;0;0;0;0;2;1;6;0.006323;0.017238
1;0;0;0;0;0;0;0;0;0;3;1;6;0.062734;0.024124
1;0;0;0;0;0;0;0;0;0;4;1;6;0.012882;0.013830
1;0;0;0;0;0;0;0;0;0;5;1;6;0.061866;0.012076
1;0;0;0;0;0;0;0;0;0;6;1;6;0.023269;0.014134
1;0;0;0;0;0;0;0;0;0;7;1;6;0.035269;0.015875
1;0;0;0;0;0;0;0;0;0;8;1;6;0.031662;0.020860
1;0;0;0;0;0;0;0;0;0;9;1;6;0.027471;0.012412
1;0;0;0;0;0;0;0;0;0;1;2;6;0.060056;0.022535
1;0;0;0;0;0;0;0;0;0;2;2;6;0.046544;0.012575
1;0;0;0;0;0;0;0;0;0;3;2;6;0.089848;0.019591
1;0;0;0;0;0;0;0;0;0;4;2;6;0.035228;0.013608
1;0;0;0;0;0;0;0;0;0;5;2;6;0.068786;0.011850
1;0;0;0;0;0;0;0;0;0;6;2;6;0.045416;0.010449
1;0;0;0;0;0;0;0;0;0;7;2;6;0.029364;0.006898
1;0;0;0;0;0;0;0;0;0;8;2;6;0.041130;0.018167
1;0;0;0;0;0;0;0;0;0;9;2;6;0.055043;0.047983
1;0;0;0;0;0;0;0;0;0;1;3;6;0.037677;0.007121
1;0;0;0;0;0;0;0;0;0;2;3;6;0.065020;0.026800
1;0;0;0;0;0;0;0;0;0;3;3;6;0.086388;0.019634
1;0;0;0;0;0;0;0;0;0;4;3;6;0.012870;0.021541
1;0;0;0;0;0;0;0;0;0;5;3;6;0.009793;0.016013
1;0;0;0;0;0;0;0;0;0;6;3;6;0.038779;0.019991
1;0;0;0;0;0;0;0;0;0;7;3;6;0.047808;0.013798
1;0;0;0;0;0;0;0;0;0;8;3;6;0.046849;0.010876
1;0;0;0;0;0;0;0;0;0;9;3;6;0.030522;0.025156
1;0;0;0;0;0;0;0;0;0;1;4;6;0.038979;0.014385
1;0;0;0;0;0;0;0;0;0;2;4;6;0.024133;0.016660
1;0;0;0;0;0;0;0;0;0;3;4;6;0.030703;0.022234
1;0;0;0;0;0;0;0;0;0;4;4;6;0.068746;0.032580
1;0;0;0;0;0;0;0;0;0;5;4;6;0.052741;0.020268
1;0;0;0;0;0;0;0;0;0;6;4;6;0.039995;0.018090
1;0;0;0;0;0;0;0;0;0;7;4;6;0.039352;0.034719
1;0;0;0;0;0;0;0;0;0;8;4;6;0.016970;0.008307
1;0;0;0;0;0;0;0;0;0;9;4;6;0.073857;0.027970
1;0;0;0;0;0;0;0;0;0;1;1;18;0.048577;0.011075
1;0;0;0;0;0;0;0;0;0;2;1;18;0.018676;0.011837
