root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;0;0;1;1;2;377.000000;10704.600000
1;0;0;0;0;0;0;0;0;0;2;1;2;373.400000;10718.800000
1;0;0;0;0;0;0;0;0;0;3;1;2;392.000000;11073.800000
1;0;0;0;0;0;0;0;0;0;4;1;2;444.400000;11668.600000
1;0;0;0;0;0;0;0;0;0;5;1;2;499.600000;12641.800000
1;0;0;0;0;0;0;0;0;0;6;1;2;553.200000;14216.600000
1;0;0;0;0;0;0;0;0;0;7;1;2;714.400000;18311.800000
1;0;0;0;0;0;0;0;0;0;8;1;2;688.600000;18378.000000
1;0;0;0;0;0;0;0;0;0;9;1;2;675.800000;18394.800000
1;0;0;0;0;0;0;0;0;0;1;2;2;400.200000;10253.200000
1;0;0;0;0;0;0;0;0;0;2;2;2;394.600000;10439.200000
1;0;0;0;0;0;0;0;0;0;3;2;2;407.800000;11001.600000
1;0;0;0;0;0;0;0;0;0;4;2;2;470.200000;11737.600000
1;0;0;0;0;0;0;0;0;0;5;2;2;501.400000;12648.400000
1;0;0;0;0;0;0;0;0;0;6;2;2;562.400000;14339.200000
1;0;0;0;0;0;0;0;0;0;7;2;2;692.400000;18344.400000
1;0;0;0;0;0;0;0;0;0;8;2;2;685.600000;18697.400000
1;0;0;0;0;0;0;0;0;0;9;2;2;681.800000;18494.200000
1;0;0;0;0;0;0;0;0;0;1;3;2;402.800000;10341.400000
1;0;0;0;0;0;0;0;0;0;2;3;2;388.200000;10597.600000
1;0;0;0;0;0;0;0;0;0;3;3;2;416.800000;11135.600000
1;0;0;0;0;0;0;0;0;0;4;3;2;484.400000;11981.800000
1;0;0;0;0;0;0;0;0;0;5;3;2;513.200000;12866.200000
1;0;0;0;0;0;0;0;0;0;6;3;2;562.400000;14263.800000
1;0;0;0;0;0;0;0;0;0;7;3;2;689.200000;18458.000000
1;0;0;0;0;0;0;0;0;0;8;3;2;674.600000;18454.400000
1;0;0;0;0;0;0;0;0;0;9;3;2;708.000000;18600.000000
1;0;0;0;0;0;0;0;0;0;1;4;2;412.000000;10483.600000
1;0;0;0;0;0;0;0;0;0;2;4;2;429.400000;10740.800000
1;0;0;0;0;0;0;0;0;0;3;4;2;446.000000;11494.000000
1;0;0;0;0;0;0;0;0;0;4;4;2;479.600000;12033.800000
1;0;0;0;0;0;0;0;0;0;5;4;2;509.600000;12876.600000
1;0;0;0;0;0;0;0;0;0;6;4;2;548.200000;14283.800000
1;0;0;0;0;0;0;0;0;0;7;4;2;701.000000;18475.200000
1;0;0;0;0;0;0;0;0;0;8;4;2;703.000000;18421.800000
1;0;0;0;0;0;0;0;0;0;9;4;2;723.400000;18646.600000
1;0;0;0;0;0;0;0;0;0;1;1;6;438.800000;10499.400000
1;0;0;0;0;0;0;0;0;0;2;1;6;419.600000;10508.600000
1;0;0;0;0;0;0;0;0;0;3;1;6;453.400000;10651.600000
1;0;0;0;0;0;0;0;0;0;4;1;6;464.200000;10989.200000
1;0;0;0;0;0;0;0;0;0;5;1;6;464.400000;11625.200000
1;0;0;0;0;0;0;0;0;0;6;1;6;488.800000;12361.200000
1;0;0;0;0;0;0;0;0;0;7;1;6;545.800000;14367.800000
1;0;0;0;0;0;0;0;0;0;8;1;6;583.200000;14423.200000
1;0;0;0;0;0;0;0;0;0;9;1;6;563.000000;14478.200000
1;0;0;0;0;0;0;0;0;0;1;2;6;419.000000;10417.600000
1;0;0;0;0;0;0;0;0;0;2;2;6;401.400000;10562.400000
1;0;0;0;0;0;0;0;0;0;3;2;6;421.200000;10630.800000
1;0;0;0;0;0;0;0;0;0;4;2;6;454.400000;11118.400000
1;0;0;0;0;0;0;0;0;0;5;2;6;470.000000;11569.400000
1;0;0;0;0;0;0;0;0;0;6;2;6;488.000000;12270.600000
1;0;0;0;0;0;0;0;0;0;7;2;6;528.200000;14550.400000
1;0;0;0;0;0;0;0;0;0;8;2;6;572.600000;14369.200000
1;0;0;0;0;0;0;0;0;0;9;2;6;586.000000;14717.800000
1;0;0;0;0;0;0;0;0;0;1;3;6;421.000000;10756.000000
1;0;0;0;0;0;0;0;0;0;2;3;6;425.400000;10607.600000
1;0;0;0;0;0;0;0;0;0;3;3;6;423.400000;10671.200000
1;0;0;0;0;0;0;0;0;0;4;3;6;461.000000;11193.000000
1;0;0;0;0;0;0;0;0;0;5;3;6;468.400000;11660.400000
1;0;0;0;0;0;0;0;0;0;6;3;6;486.000000;12303.000000
1;0;0;0;0;0;0;0;0;0;7;3;6;558.200000;14434.200000
1;0;0;0;0;0;0;0;0;0;8;3;6;540.000000;14313.000000
1;0;0;0;0;0;0;0;0;0;9;3;6;593.000000;14704.800000
1;0;0;0;0;0;0;0;0;0;1;4;6;419.800000;10500.400000
1;0;0;0;0;0;0;0;0;0;2;4;6;425.000000;10451.000000
1;0;0;0;0;0;0;0;0;0;3;4;6;436.000000;10722.200000
1;0;0;0;0;0;0;0;0;0;4;4;6;436.000000;11154.200000
1;0;0;0;0;0;0;0;0;0;5;4;6;482.600000;11763.000000
1;0;0;0;0;0;0;0;0;0;6;4;6;510.800000;12379.600000
1;0;0;0;0;0;0;0;0;0;7;4;6;583.600000;14635.800000
1;0;0;0;0;0;0;0;0;0;8;4;6;571.800000;14362.000000
1;0;0;0;0;0;0;0;0;0;9;4;6;546.800000;14561.800000
1;0;0;0;0;0;0;0;0;0;1;1;18;420.600000;10330.600000
1;0;0;0;0;0;0;0;0;0;2;1;18;434.200000;10499.200000
1;0;0;0;0;0;0;0;0;0;3;1;18;424.400000;10618.000000
1;0;0;0;0;0;0;0;0;0;4;1;18;427.400000;10702.600000
1;0;0;0;0;0;0;0;0;0;5;1;18;459.200000;11228.800000
1;0;0;0;0;0;0;0;0;0;6;1;18;458.400000;11584.600000
1;0;0;0;0;0;0;0;0;0;7;1;18;517.400000;12504.600000
1;0;0;0;0;0;0;0;0;0;8;1;18;511.600000;12605.400000
1;0;0;0;0;0;0;0;0;0;9;1;18;505.000000;12656.600000
1;0;0;0;0;0;0;0;0;0;1;2;18;424.600000;10373.000000
1;0;0;0;0;0;0;0;0;0;2;2;18;441.200000;10364.000000
1;0;0;0;0;0;0;0;0;0;3;2;18;433.400000;10689.200000
1;0;0;0;0;0;0;0;0;0;4;2;18;452.000000;10892.600000
1;0;0;0;0;0;0;0;0;0;5;2;18;456.400000;11183.600000
1;0;0;0;0;0;0;0;0;0;6;2;18;480.400000;11504.400000
1;0;0;0;0;0;0;0;0;0;7;2;18;515.200000;12712.200000
1;0;0;0;0;0;0;0;0;0;8;2;18;519.000000;12709.200000
1;0;0;0;0;0;0;0;0;0;9;2;18;520.000000;12655.200000
1;0;0;0;0;0;0;0;0;0;1;3;18;425.000000;10427.800000
1;0;0;0;0;0;0;0;0;0;2;3;18;432.000000;10324.000000
1;0;0;0;0;0;0;0;0;0;3;3;18;423.600000;10568.400000
1;0;0;0;0;0;0;0;0;0;4;3;18;447.000000;10719.800000
1;0;0;0;0;0;0;0;0;0;5;3;18;456.000000;11203.400000
1;0;0;0;0;0;0;0;0;0;6;3;18;474.400000;11563.600000
1;0;0;0;0;0;0;0;0;0;7;3;18;506.800000;12512.400000
1;0;0;0;0;0;0;0;0;0;8;3;18;511.400000;12580.600000
1;0;0;0;0;0;0;0;0;0;9;3;18;507.200000;12494.800000
1;0;0;0;0;0;0;0;0;0;1;4;18;425.200000;10464.600000
1;0;0;0;0;0;0;0;0;0;2;4;18;414.200000;10240.600000
1;0;0;0;0;0;0;0;0;0;3;4;18;406.400000;10589.200000
1;0;0;0;0;0;0;0;0;0;4;4;18;437.600000;10762.600000
1;0;0;0;0;0;0;0;0;0;5;4;18;468.400000;11228.000000
1;0;0;0;0;0;0;0;0;0;6;4;18;468.200000;11443.000000
1;0;0;0;0;0;0;0;0;0;7;4;18;499.800000;12512.600000
1;0;0;0;0;0;0;0;0;0;8;4;18;496.800000;12624.000000
1;0;0;0;0;0;0;0;0;0;9;4;18;491.400000;12493.600000
1;0;0;0;0;0;0;0;1;0;1;1;2;442.600000;10686.000000
1;0;0;0;0;0;0;0;1;0;2;1;2;416.800000;10426.400000
1;0;0;0;0;0;0;0;1;0;3;1;2;426.600000;10519.800000
1;0;0;0;0;0;0;0;1;0;4;1;2;413.400000;10693.000000
1;0;0;0;0;0;0;0;1;0;5;1;2;409.400000;11186.000000
1;0;0;0;0;0;0;0;1;0;6;1;2;484.400000;11509.800000
1;0;0;0;0;0;0;0;1;0;7;1;2;499.800000;12731.000000
1;0;0;0;0;0;0;0;1;0;8;1;2;502.800000;12868.600000
1;0;0;0;0;0;0;0;1;0;9;1;2;476.600000;12682.400000
1;0;0;0;0;0;0;0;1;0;1;2;2;423.000000;10493.400000
1;0;0;0;0;0;0;0;1;0;2;2;2;432.400000;10528.800000
1;0;0;0;0;0;0;0;1;0;3;2;2;435.000000;10606.600000
1;0;0;0;0;0;0;0;1;0;4;2;2;454.800000;11100.600000
1;0;0;0;0;0;0;0;1;0;5;2;2;448.200000;11049.400000
1;0;0;0;0;0;0;0;1;0;6;2;2;436.000000;11553.400000
1;0;0;0;0;0;0;0;1;0;7;2;2;506.000000;12710.000000
1;0;0;0;0;0;0;0;1;0;8;2;2;510.800000;12928.600000
1;0;0;0;0;0;0;0;1;0;9;2;2;525.400000;12877.400000
1;0;0;0;0;0;0;0;1;0;1;3;2;422.000000;10444.800000
1;0;0;0;0;0;0;0;1;0;2;3;2;421.400000;10378.800000
1;0;0;0;0;0;0;0;1;0;3;3;2;447.400000;10732.000000
1;0;0;0;0;0;0;0;1;0;4;3;2;427.000000;10673.200000
1;0;0;0;0;0;0;0;1;0;5;3;2;446.400000;11310.800000
1;0;0;0;0;0;0;0;1;0;6;3;2;444.800000;11388.000000
1;0;0;0;0;0;0;0;1;0;7;3;2;480.200000;12721.000000
1;0;0;0;0;0;0;0;1;0;8;3;2;508.000000;12764.600000
1;0;0;0;0;0;0;0;1;0;9;3;2;509.200000;12775.000000
1;0;0;0;0;0;0;0;1;0;1;4;2;423.200000;10460.800000
1;0;0;0;0;0;0;0;1;0;2;4;2;421.800000;10349.800000
1;0;0;0;0;0;0;0;1;0;3;4;2;426.000000;10547.600000
1;0;0;0;0;0;0;0;1;0;4;4;2;444.600000;10754.000000
1;0;0;0;0;0;0;0;1;0;5;4;2;444.400000;11141.800000
1;0;0;0;0;0;0;0;1;0;6;4;2;454.400000;11394.800000
1;0;0;0;0;0;0;0;1;0;7;4;2;497.800000;12647.000000
1;0;0;0;0;0;0;0;1;0;8;4;2;499.200000;12687.000000
1;0;0;0;0;0;0;0;1;0;9;4;2;528.400000;12837.000000
1;0;0;0;0;0;0;0;1;0;1;1;6;424.800000;10439.000000
1;0;0;0;0;0;0;0;1;0;2;1;6;428.000000;10347.200000
1;0;0;0;0;0;0;0;1;0;3;1;6;427.200000;10473.800000
1;0;0;0;0;0;0;0;1;0;4;1;6;413.200000;10621.600000
1;0;0;0;0;0;0;0;1;0;5;1;6;457.000000;11036.600000
1;0;0;0;0;0;0;0;1;0;6;1;6;458.600000;11223.600000
1;0;0;0;0;0;0;0;1;0;7;1;6;500.600000;12472.400000
1;0;0;0;0;0;0;0;1;0;8;1;6;503.600000;12500.200000
1;0;0;0;0;0;0;0;1;0;9;1;6;487.800000;12491.800000
1;0;0;0;0;0;0;0;1;0;1;2;6;431.600000;10431.400000
1;0;0;0;0;0;0;0;1;0;2;2;6;422.800000;10368.600000
1;0;0;0;0;0;0;0;1;0;3;2;6;423.600000;10379.800000
1;0;0;0;0;0;0;0;1;0;4;2;6;434.600000;10588.800000
1;0;0;0;0;0;0;0;1;0;5;2;6;452.200000;10984.200000
1;0;0;0;0;0;0;0;1;0;6;2;6;465.800000;11255.200000
1;0;0;0;0;0;0;0;1;0;7;2;6;493.400000;12513.400000
1;0;0;0;0;0;0;0;1;0;8;2;6;494.400000;12429.400000
1;0;0;0;0;0;0;0;1;0;9;2;6;510.000000;12553.600000
1;0;0;0;0;0;0;0;1;0;1;3;6;430.800000;10596.800000
1;0;0;0;0;0;0;0;1;0;2;3;6;409.600000;10255.000000
1;0;0;0;0;0;0;0;1;0;3;3;6;409.800000;10373.600000
1;0;0;0;0;0;0;0;1;0;4;3;6;424.600000;10643.400000
1;0;0;0;0;0;0;0;1;0;5;3;6;460.400000;10989.000000
1;0;0;0;0;0;0;0;1;0;6;3;6;457.800000;11239.800000
1;0;0;0;0;0;0;0;1;0;7;3;6;491.000000;12533.600000
1;0;0;0;0;0;0;0;1;0;8;3;6;463.600000;12725.800000
1;0;0;0;0;0;0;0;1;0;9;3;6;508.400000;12570.600000
1;0;0;0;0;0;0;0;1;0;1;4;6;426.400000;10665.400000
1;0;0;0;0;0;0;0;1;0;2;4;6;435.800000;10466.400000
1;0;0;0;0;0;0;0;1;0;3;4;6;420.000000;10336.600000
1;0;0;0;0;0;0;0;1;0;4;4;6;410.200000;10589.800000
1;0;0;0;0;0;0;0;1;0;5;4;6;470.600000;10955.600000
1;0;0;0;0;0;0;0;1;0;6;4;6;456.400000;11254.200000
1;0;0;0;0;0;0;0;1;0;7;4;6;501.400000;12518.600000
1;0;0;0;0;0;0;0;1;0;8;4;6;509.000000;12581.800000
1;0;0;0;0;0;0;0;1;0;9;4;6;497.800000;12501.000000
1;0;0;0;0;0;0;0;1;0;1;1;18;406.600000;10387.200000
1;0;0;0;0;0;0;0;1;0;2;1;18;417.600000;10233.400000
1;0;0;0;0;0;0;0;1;0;3;1;18;430.800000;10472.000000
1;0;0;0;0;0;0;0;1;0;4;1;18;432.400000;10630.600000
1;0;0;0;0;0;0;0;1;0;5;1;18;434.200000;11032.600000
1;0;0;0;0;0;0;0;1;0;6;1;18;475.000000;11506.600000
1;0;0;0;0;0;0;0;1;0;7;1;18;498.600000;12452.200000
1;0;0;0;0;0;0;0;1;0;8;1;18;521.400000;12505.200000
1;0;0;0;0;0;0;0;1;0;9;1;18;498.400000;12603.200000
1;0;0;0;0;0;0;0;1;0;1;2;18;416.000000;10398.200000
1;0;0;0;0;0;0;0;1;0;2;2;18;422.600000;10361.000000
1;0;0;0;0;0;0;0;1;0;3;2;18;431.600000;10519.600000
1;0;0;0;0;0;0;0;1;0;4;2;18;459.400000;10633.600000
1;0;0;0;0;0;0;0;1;0;5;2;18;462.000000;11237.000000
1;0;0;0;0;0;0;0;1;0;6;2;18;449.000000;11360.800000
1;0;0;0;0;0;0;0;1;0;7;2;18;513.000000;12541.800000
1;0;0;0;0;0;0;0;1;0;8;2;18;498.200000;12355.800000
1;0;0;0;0;0;0;0;1;0;9;2;18;523.800000;12498.600000
1;0;0;0;0;0;0;0;1;0;1;3;18;424.000000;10343.000000
1;0;0;0;0;0;0;0;1;0;2;3;18;425.800000;10595.400000
1;0;0;0;0;0;0;0;1;0;3;3;18;433.400000;10448.000000
1;0;0;0;0;0;0;0;1;0;4;3;18;426.800000;10552.200000
1;0;0;0;0;0;0;0;1;0;5;3;18;470.600000;11210.400000
1;0;0;0;0;0;0;0;1;0;6;3;18;459.400000;11322.600000
1;0;0;0;0;0;0;0;1;0;7;3;18;519.000000;12718.200000
1;0;0;0;0;0;0;0;1;0;8;3;18;508.000000;12572.200000
1;0;0;0;0;0;0;0;1;0;9;3;18;504.600000;12379.200000
