root;multiAccept;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;tcpNoDelay;tcpNoPush;processCount;compressionLevel;performance;energy
1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2.859000;73.000000
1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2.697200;77.400000
1;1;0;0;1;0;0;0;0;0;0;0;0;0;4;1;2.748600;78.400000
1;1;0;0;1;0;0;0;0;0;0;0;0;0;8;1;2.823400;81.800000
1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;3.055400;75.600000
1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;1;2.748800;79.200000
1;1;0;0;1;0;0;0;0;0;0;0;0;1;4;1;2.755000;79.800000
1;1;0;0;1;0;0;0;0;0;0;0;0;1;8;1;2.736800;81.200000
1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;2.916400;77.000000
1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;1;2.702000;76.400000
1;1;0;0;1;0;0;0;0;0;0;0;1;0;4;1;2.662600;86.200000
1;1;0;0;1;0;0;0;0;0;0;0;1;0;8;1;2.777800;86.800000
1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;2.938200;74.600000
1;1;0;0;1;0;0;0;0;0;0;0;1;1;2;1;2.724000;83.600000
1;1;0;0;1;0;0;0;0;0;0;0;1;1;4;1;2.770600;84.800000
1;1;0;0;1;0;0;0;0;0;0;0;1;1;8;1;2.758600;86.600000
1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2.650200;77.600000
1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;2.835200;84.800000
1;1;0;0;1;1;0;0;0;0;0;0;0;0;4;1;2.731000;82.400000
1;1;0;0;1;1;0;0;0;0;0;0;0;0;8;1;2.773200;82.200000
1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;2.627200;75.600000
1;1;0;0;1;1;0;0;0;0;0;0;0;1;2;1;2.861400;81.600000
1;1;0;0;1;1;0;0;0;0;0;0;0;1;4;1;2.836000;87.800000
1;1;0;0;1;1;0;0;0;0;0;0;0;1;8;1;2.817400;84.000000
1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;2.601400;73.400000
1;1;0;0;1;1;0;0;0;0;0;0;1;0;2;1;2.848400;78.400000
1;1;0;0;1;1;0;0;0;0;0;0;1;0;4;1;2.846000;83.600000
1;1;0;0;1;1;0;0;0;0;0;0;1;0;8;1;2.822400;81.800000
1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;2.715200;75.400000
1;1;0;0;1;1;0;0;0;0;0;0;1;1;2;1;2.786800;79.600000
1;1;0;0;1;1;0;0;0;0;0;0;1;1;4;1;2.805000;86.000000
1;1;0;0;1;1;0;0;0;0;0;0;1;1;8;1;2.804800;79.800000
1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;3.591600;108.400000
1;1;1;0;1;0;0;0;0;0;0;0;0;0;2;1;2.791600;82.000000
1;1;1;0;1;0;0;0;0;0;0;0;0;0;4;1;2.879400;94.800000
1;1;1;0;1;0;0;0;0;0;0;0;0;0;8;1;2.821800;84.000000
1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;3.443000;104.400000
1;1;1;0;1;0;0;0;0;0;0;0;0;1;2;1;2.597000;86.800000
