root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;core;core1;core2;core3;core4;energy;performance
1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;0;1;1.2826;23.546
1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;2.6868;87.212
1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1.8916;46.012
1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1.4592;31.444
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1.7436;31.65
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;3.8836;117.91
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;2.5124;62.598
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;0;2.0142;43.274
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;2.354;42.854
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;5.2226;157.852
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;0;3.3198;84.094
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;2.8912;58.876
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1.3128;23.47
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;2.7028;87.288
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1.8952;46.128
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1.4218;31.206
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1.7466;31.816
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;0;0;0;3.656;118.142
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;2.4072;62.532
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;2.046;43.57
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;2.5128;43.26
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;5.0402;157.898
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;3.443;84.032
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;2.8984;58.714
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;1;1.2746;23.416
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;2.7008;87.206
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1.768;46.24
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1.4282;31.464
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1.8492;31.73
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;3.9116;118.508
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;2.4994;62.674
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;0;2.1222;43.294
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;2.5206;42.686
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;5.0378;157.894
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;3.2496;84.078
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;2.7;58.82
1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1.268;23.102
